online user,# Spark workers,number of VMs,size of data,Amount of memory of workers,# cores of workers,total memory of VMs/local machine,#cores of VMs,think time,type of ML task,on-prem,Ave response time
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,2.731890525
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.198356028
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.030895163
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.876040236
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.831473873
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.768431072
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.753287498
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.722745353
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.71088118
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.69164789
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.682096435
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.668134143
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.659674048
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.647952762
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.643159673
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.635283965
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.63119558
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.624498119
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.622034773
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.662451834
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.688402312
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.731893437
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.748979592
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.785497615
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.801976067
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.827727826
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.838410713
