online user,# Spark workers,#VMs,size of data,Amount of memory of workers,vCPU per workers,total memory,cores of VMs,throughput
5,1,1,100 KB,14 GB,4,64 GB,16,0
5,1,1,100 KB,14 GB,4,64 GB,16,3
5,1,1,100 KB,14 GB,4,64 GB,16,6.1666
5,1,1,100 KB,14 GB,4,64 GB,16,5.777
5,1,1,100 KB,14 GB,4,64 GB,16,7
5,1,1,100 KB,14 GB,4,64 GB,16,6.666
5,1,1,100 KB,14 GB,4,64 GB,16,7.444
5,1,1,100 KB,14 GB,4,64 GB,16,7.142
5,1,1,100 KB,14 GB,4,64 GB,16,7.625
5,1,1,100 KB,14 GB,4,64 GB,16,7.407
5,1,1,100 KB,14 GB,4,64 GB,16,7.8
5,1,1,100 KB,14 GB,4,64 GB,16,7.636
5,1,1,100 KB,14 GB,4,64 GB,16,7.9444
5,1,1,100 KB,14 GB,4,64 GB,16,7.82
5,1,1,100 KB,14 GB,4,64 GB,16,8.119
5,1,1,100 KB,14 GB,4,64 GB,16,7.977
5,1,1,100 KB,14 GB,4,64 GB,16,8.208
5,1,1,100 KB,14 GB,4,64 GB,16,8.078
5,1,1,100 KB,14 GB,4,64 GB,16,8.296
15,1,1,100 KB,14 GB,4,64 GB,16,8.157
15,1,1,100 KB,14 GB,4,64 GB,16,8.45
15,1,1,100 KB,14 GB,4,64 GB,16,8.476
15,1,1,100 KB,14 GB,4,64 GB,16,8.818
15,1,1,100 KB,14 GB,4,64 GB,16,8.739
15,1,1,100 KB,14 GB,4,64 GB,16,9.041
15,1,1,100 KB,14 GB,4,64 GB,16,9.04
15,1,1,100 KB,14 GB,4,64 GB,16,9.307
15,1,1,100 KB,14 GB,4,64 GB,16,9.296
15,1,1,100 KB,14 GB,4,64 GB,16,9.535
15,1,1,100 KB,14 GB,4,64 GB,16,9.482
15,1,1,100 KB,14 GB,4,64 GB,16,9.7
15,1,1,100 KB,14 GB,4,64 GB,16,9.64516129
15,1,1,100 KB,14 GB,4,64 GB,16,9.875
15,1,1,100 KB,14 GB,4,64 GB,16,9.818181818
15,1,1,100 KB,14 GB,4,64 GB,16,10.02941176
15,1,1,100 KB,14 GB,4,64 GB,16,9.971428571
15,1,1,100 KB,14 GB,4,64 GB,16,10.13888889
15,1,1,100 KB,14 GB,4,64 GB,16,10.08108108
15,1,1,100 KB,14 GB,4,64 GB,16,10.26315789
20,1,1,100 KB,14 GB,4,64 GB,16,10.20512821
20,1,1,100 KB,14 GB,4,64 GB,16,10.375
20,1,1,100 KB,14 GB,4,64 GB,16,10.3495935
20,1,1,100 KB,14 GB,4,64 GB,16,10.51587302
20,1,1,100 KB,14 GB,4,64 GB,16,10.45736434
20,1,1,100 KB,14 GB,4,64 GB,16,10.58333333
20,1,1,100 KB,14 GB,4,64 GB,16,10.52592593
20,1,1,100 KB,14 GB,4,64 GB,16,10.64492754
20,1,1,100 KB,14 GB,4,64 GB,16,10.61702128
20,1,1,100 KB,14 GB,4,64 GB,16,10.72916667
20,1,1,100 KB,14 GB,4,64 GB,16,10.67346939
20,1,1,100 KB,14 GB,4,64 GB,16,10.80666667
20,1,1,100 KB,14 GB,4,64 GB,16,10.75163399
20,1,1,100 KB,14 GB,4,64 GB,16,10.87820513
20,1,1,100 KB,14 GB,4,64 GB,16,10.82389937
20,1,1,100 KB,14 GB,4,64 GB,16,10.94444444
20,1,1,100 KB,14 GB,4,64 GB,16,10.91515152
20,1,1,100 KB,14 GB,4,64 GB,16,11.0297619
20,1,1,100 KB,14 GB,4,64 GB,16,10.97660819
20,1,1,100 KB,14 GB,4,64 GB,16,11.06321839
5,1,1,100 KB,14 GB,4,64 GB,16,11.03389831
5,1,1,100 KB,14 GB,4,64 GB,16,11.07777778
5,1,1,100 KB,14 GB,4,64 GB,16,10.99453552
5,1,1,100 KB,14 GB,4,64 GB,16,11.00537634
5,1,1,100 KB,14 GB,4,64 GB,16,10.92592593
5,1,1,100 KB,14 GB,4,64 GB,16,10.94270833
5,1,1,100 KB,14 GB,4,64 GB,16,10.86666667
5,1,1,100 KB,14 GB,4,64 GB,16,10.88383838
5,1,1,100 KB,14 GB,4,64 GB,16,10.8159204
5,1,1,100 KB,14 GB,4,64 GB,16,10.83823529
5,1,1,100 KB,14 GB,4,64 GB,16,10.76328502
5,1,1,100 KB,14 GB,4,64 GB,16,10.78095238
5,1,1,100 KB,14 GB,4,64 GB,16,10.71361502
5,1,1,100 KB,14 GB,4,64 GB,16,10.74074074
5,1,1,100 KB,14 GB,4,64 GB,16,10.67579909
5,1,1,100 KB,14 GB,4,64 GB,16,10.6981982
5,1,1,100 KB,14 GB,4,64 GB,16,10.63555556
5,1,1,100 KB,14 GB,4,64 GB,16,10.65350877
5,1,1,100 KB,14 GB,4,64 GB,16,10.5974026
5,1,1,100 KB,14 GB,4,64 GB,16,10.61965812
10,1,1,100 KB,14 GB,4,64 GB,16,10.56118143
10,1,1,100 KB,14 GB,4,64 GB,16,10.60416667
10,1,1,100 KB,14 GB,4,64 GB,16,10.57201646
10,1,1,100 KB,14 GB,4,64 GB,16,10.60569106
10,1,1,100 KB,14 GB,4,64 GB,16,10.56626506
10,1,1,100 KB,14 GB,4,64 GB,16,10.60714286
10,1,1,100 KB,14 GB,4,64 GB,16,10.56862745
10,1,1,100 KB,14 GB,4,64 GB,16,10.61627907
10,1,1,100 KB,14 GB,4,64 GB,16,10.57854406
10,1,1,100 KB,14 GB,4,64 GB,16,10.64015152
10,1,1,100 KB,14 GB,4,64 GB,16,10.60299625
10,1,1,100 KB,14 GB,4,64 GB,16,10.65555556
10,1,1,100 KB,14 GB,4,64 GB,16,10.61904762
10,1,1,100 KB,14 GB,4,64 GB,16,10.67028986
10,1,1,100 KB,14 GB,4,64 GB,16,10.64157706
10,1,1,100 KB,14 GB,4,64 GB,16,10.69858156
10,1,1,100 KB,14 GB,4,64 GB,16,10.66315789
10,1,1,100 KB,14 GB,4,64 GB,16,10.71875
10,1,1,100 KB,14 GB,4,64 GB,16,10.69072165
10,1,1,100 KB,14 GB,4,64 GB,16,10.73809524
5,1,1,100 KB,14 GB,4,64 GB,16,10.71043771
5,1,1,100 KB,14 GB,4,64 GB,16,10.74333333
5,1,1,100 KB,14 GB,4,64 GB,16,10.69636964
5,1,1,100 KB,14 GB,4,64 GB,16,10.70915033
5,1,1,100 KB,14 GB,4,64 GB,16,10.66343042
5,1,1,100 KB,14 GB,4,64 GB,16,10.67628205
5,1,1,100 KB,14 GB,4,64 GB,16,10.63174603
5,1,1,100 KB,14 GB,4,64 GB,16,10.64465409
5,1,1,100 KB,14 GB,4,64 GB,16,10.60124611
5,1,1,100 KB,14 GB,4,64 GB,16,10.61419753
5,1,1,100 KB,14 GB,4,64 GB,16,10.57186544
5,1,1,100 KB,14 GB,4,64 GB,16,10.58484848
5,1,1,100 KB,14 GB,4,64 GB,16,10.54354354
5,1,1,100 KB,14 GB,4,64 GB,16,10.55357143
5,1,1,100 KB,14 GB,4,64 GB,16,10.51622419
5,1,1,100 KB,14 GB,4,64 GB,16,10.52631579
5,1,1,100 KB,14 GB,4,64 GB,16,10.48985507
5,1,1,100 KB,14 GB,4,64 GB,16,10.50287356
5,1,1,100 KB,14 GB,4,64 GB,16,10.46438746
5,1,1,100 KB,14 GB,4,64 GB,16,10.47457627
5,1,1,100 KB,14 GB,4,64 GB,16,10.43417367
5,2,1,100 KB,28 GB,8,64 GB,16,0
5,2,1,100 KB,28 GB,8,64 GB,16,10
5,2,1,100 KB,28 GB,8,64 GB,16,8.5
5,2,1,100 KB,28 GB,8,64 GB,16,8.333333333
5,2,1,100 KB,28 GB,8,64 GB,16,7.583333333
5,2,1,100 KB,28 GB,8,64 GB,16,8.2
5,2,1,100 KB,28 GB,8,64 GB,16,7.777777778
5,2,1,100 KB,28 GB,8,64 GB,16,8.238095238
5,2,1,100 KB,28 GB,8,64 GB,16,7.875
5,2,1,100 KB,28 GB,8,64 GB,16,8.185185185
5,2,1,100 KB,28 GB,8,64 GB,16,7.933333333
5,2,1,100 KB,28 GB,8,64 GB,16,8.212121212
5,2,1,100 KB,28 GB,8,64 GB,16,7.972222222
5,2,1,100 KB,28 GB,8,64 GB,16,8.256410256
5,2,1,100 KB,28 GB,8,64 GB,16,8.095238095
5,2,1,100 KB,28 GB,8,64 GB,16,8.333333333
5,2,1,100 KB,28 GB,8,64 GB,16,8.208333333
5,2,1,100 KB,28 GB,8,64 GB,16,8.411764706
5,2,1,100 KB,28 GB,8,64 GB,16,8.259259259
15,2,1,100 KB,28 GB,8,64 GB,16,8.596491228
15,2,1,100 KB,28 GB,8,64 GB,16,8.566666667
15,2,1,100 KB,28 GB,8,64 GB,16,8.920634921
15,2,1,100 KB,28 GB,8,64 GB,16,8.924242424
15,2,1,100 KB,28 GB,8,64 GB,16,9.275362319
15,2,1,100 KB,28 GB,8,64 GB,16,9.263888889
15,2,1,100 KB,28 GB,8,64 GB,16,9.573333333
15,2,1,100 KB,28 GB,8,64 GB,16,9.512820513
15,2,1,100 KB,28 GB,8,64 GB,16,9.75308642
15,2,1,100 KB,28 GB,8,64 GB,16,9.726190476
15,2,1,100 KB,28 GB,8,64 GB,16,9.942528736
15,2,1,100 KB,28 GB,8,64 GB,16,9.877777778
15,2,1,100 KB,28 GB,8,64 GB,16,10.13978495
15,2,1,100 KB,28 GB,8,64 GB,16,10.07291667
15,2,1,100 KB,28 GB,8,64 GB,16,10.25252525
15,2,1,100 KB,28 GB,8,64 GB,16,10.21568627
15,2,1,100 KB,28 GB,8,64 GB,16,10.40952381
15,2,1,100 KB,28 GB,8,64 GB,16,10.34259259
15,2,1,100 KB,28 GB,8,64 GB,16,10.54954955
15,2,1,100 KB,28 GB,8,64 GB,16,10.50877193
20,2,1,100 KB,28 GB,8,64 GB,16,10.66666667
20,2,1,100 KB,28 GB,8,64 GB,16,10.63333333
20,2,1,100 KB,28 GB,8,64 GB,16,10.76422764
20,2,1,100 KB,28 GB,8,64 GB,16,10.6984127
20,2,1,100 KB,28 GB,8,64 GB,16,10.85271318
20,2,1,100 KB,28 GB,8,64 GB,16,10.78787879
20,2,1,100 KB,28 GB,8,64 GB,16,10.93333333
20,2,1,100 KB,28 GB,8,64 GB,16,10.50724638
20,2,1,100 KB,28 GB,8,64 GB,16,11.0070922
20,2,1,100 KB,28 GB,8,64 GB,16,10.94444444
20,2,1,100 KB,28 GB,8,64 GB,16,11.04761905
20,2,1,100 KB,28 GB,8,64 GB,16,10.98666667
20,2,1,100 KB,28 GB,8,64 GB,16,11.11111111
20,2,1,100 KB,28 GB,8,64 GB,16,11.05128205
20,2,1,100 KB,28 GB,8,64 GB,16,11.19496855
20,2,1,100 KB,28 GB,8,64 GB,16,11.13580247
20,2,1,100 KB,28 GB,8,64 GB,16,11.27272727
20,2,1,100 KB,28 GB,8,64 GB,16,11.21428571
20,2,1,100 KB,28 GB,8,64 GB,16,11.32163743
20,2,1,100 KB,28 GB,8,64 GB,16,11.28735632
5,2,1,100 KB,28 GB,8,64 GB,16,11.33333333
5,2,1,100 KB,28 GB,8,64 GB,16,11.24444444
5,2,1,100 KB,28 GB,8,64 GB,16,11.26229508
5,2,1,100 KB,28 GB,8,64 GB,16,11.1827957
5,2,1,100 KB,28 GB,8,64 GB,16,11.2010582
5,2,1,100 KB,28 GB,8,64 GB,16,11.11458333
5,2,1,100 KB,28 GB,8,64 GB,16,11.12307692
5,2,1,100 KB,28 GB,8,64 GB,16,11.04545455
5,2,1,100 KB,28 GB,8,64 GB,16,11.04975124
5,2,1,100 KB,28 GB,8,64 GB,16,10.97058824
5,2,1,100 KB,28 GB,8,64 GB,16,10.98067633
5,2,1,100 KB,28 GB,8,64 GB,16,10.90952381
5,2,1,100 KB,28 GB,8,64 GB,16,10.92488263
5,2,1,100 KB,28 GB,8,64 GB,16,10.85185185
5,2,1,100 KB,28 GB,8,64 GB,16,10.86757991
5,2,1,100 KB,28 GB,8,64 GB,16,10.7972973
5,2,1,100 KB,28 GB,8,64 GB,16,10.80444444
5,2,1,100 KB,28 GB,8,64 GB,16,10.73245614
5,2,1,100 KB,28 GB,8,64 GB,16,10.74458874
5,2,1,100 KB,28 GB,8,64 GB,16,10.67948718
10,2,1,100 KB,28 GB,8,64 GB,16,10.72151899
10,2,1,100 KB,28 GB,8,64 GB,16,10.67916667
10,2,1,100 KB,28 GB,8,64 GB,16,10.73662551
10,2,1,100 KB,28 GB,8,64 GB,16,10.70325203
10,2,1,100 KB,28 GB,8,64 GB,16,10.75903614
10,2,1,100 KB,28 GB,8,64 GB,16,10.71031746
10,2,1,100 KB,28 GB,8,64 GB,16,10.75686275
10,2,1,100 KB,28 GB,8,64 GB,16,10.71705426
10,2,1,100 KB,28 GB,8,64 GB,16,10.77011494
10,2,1,100 KB,28 GB,8,64 GB,16,10.73863636
10,2,1,100 KB,28 GB,8,64 GB,16,10.80524345
10,2,1,100 KB,28 GB,8,64 GB,16,10.76666667
10,2,1,100 KB,28 GB,8,64 GB,16,10.80952381
10,2,1,100 KB,28 GB,8,64 GB,16,10.77173913
10,2,1,100 KB,28 GB,8,64 GB,16,10.82078853
